2021-01-01	1	5	1	1	1	2021	0	1
2021-01-02	1	6	2	1	1	2021	1	0
2021-01-03	2	7	3	1	1	2021	1	0
2021-01-04	2	1	4	1	1	2021	0	0
2021-01-05	2	2	5	1	1	2021	0	0
2021-01-06	2	3	6	1	1	2021	0	0
2021-01-07	2	4	7	1	1	2021	0	0
2021-01-08	2	5	8	1	1	2021	0	0
2021-01-09	2	6	9	1	1	2021	1	0
2021-01-10	3	7	10	1	1	2021	1	0
2021-01-11	3	1	11	1	1	2021	0	0
2021-01-12	3	2	12	1	1	2021	0	0
2021-01-13	3	3	13	1	1	2021	0	0
2021-01-14	3	4	14	1	1	2021	0	0
2021-01-15	3	5	15	1	1	2021	0	0
2021-01-16	3	6	16	1	1	2021	1	0
2021-01-17	4	7	17	1	1	2021	1	0
2021-01-18	4	1	18	1	1	2021	0	0
2021-01-19	4	2	19	1	1	2021	0	0
2021-01-20	4	3	20	1	1	2021	0	0
2021-01-21	4	4	21	1	1	2021	0	0
2021-01-22	4	5	22	1	1	2021	0	0
2021-01-23	4	6	23	1	1	2021	1	0
2021-01-24	5	7	24	1	1	2021	1	0
2021-01-25	5	1	25	1	1	2021	0	0
2021-01-26	5	2	26	1	1	2021	0	0
2021-01-27	5	3	27	1	1	2021	0	0
2021-01-28	5	4	28	1	1	2021	0	0
2021-01-29	5	5	29	1	1	2021	0	0
2021-01-30	5	6	30	1	1	2021	1	0
2021-01-31	6	7	31	1	1	2021	1	0
2021-02-01	6	1	1	2	1	2021	0	0
2021-02-02	6	2	2	2	1	2021	0	0
2021-02-03	6	3	3	2	1	2021	0	0
2021-02-04	6	4	4	2	1	2021	0	0
2021-02-05	6	5	5	2	1	2021	0	0
2021-02-06	6	6	6	2	1	2021	1	0
2021-02-07	7	7	7	2	1	2021	1	0
2021-02-08	7	1	8	2	1	2021	0	0
2021-02-09	7	2	9	2	1	2021	0	0
2021-02-10	7	3	10	2	1	2021	0	0
2021-02-11	7	4	11	2	1	2021	0	0
2021-02-12	7	5	12	2	1	2021	0	0
2021-02-13	7	6	13	2	1	2021	1	0
2021-02-14	8	7	14	2	1	2021	1	1
2021-02-15	8	1	15	2	1	2021	0	0
2021-02-16	8	2	16	2	1	2021	0	0
2021-02-17	8	3	17	2	1	2021	0	0
